2024-04-06 21:55:57 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:55:58 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:55:59 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:00 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:01 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:02 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:03 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:04 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:05 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:06 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:07 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:08 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:09 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:10 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:11 - GPU Usage: 8%, Memory Used: 963.94 MB
2024-04-06 21:56:12 - GPU Usage: 0%, Memory Used: 1113.94 MB
2024-04-06 21:56:13 - GPU Usage: 0%, Memory Used: 1113.94 MB
2024-04-06 21:56:14 - GPU Usage: 0%, Memory Used: 1113.94 MB
2024-04-06 21:56:15 - GPU Usage: 11%, Memory Used: 1285.94 MB
2024-04-06 21:56:16 - GPU Usage: 0%, Memory Used: 1619.94 MB
2024-04-06 21:56:17 - GPU Usage: 22%, Memory Used: 1963.94 MB
2024-04-06 21:56:18 - GPU Usage: 0%, Memory Used: 2143.94 MB
2024-04-06 21:56:19 - GPU Usage: 0%, Memory Used: 7887.94 MB
2024-04-06 21:56:20 - GPU Usage: 10%, Memory Used: 20577.94 MB
2024-04-06 21:56:21 - GPU Usage: 10%, Memory Used: 20577.94 MB
2024-04-06 21:56:22 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:23 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:24 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:25 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:26 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:27 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:28 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:29 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:30 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:31 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:32 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:33 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:34 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:35 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:36 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:37 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:38 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:39 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:40 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:41 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:42 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:43 - GPU Usage: 15%, Memory Used: 16217.94 MB
2024-04-06 21:56:44 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:45 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:46 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:47 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:48 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:49 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:50 - GPU Usage: 0%, Memory Used: 16217.94 MB
2024-04-06 21:56:51 - GPU Usage: 17%, Memory Used: 22075.94 MB
2024-04-06 21:56:52 - GPU Usage: 0%, Memory Used: 22075.94 MB
2024-04-06 21:56:53 - GPU Usage: 0%, Memory Used: 22075.94 MB
2024-04-06 21:56:54 - GPU Usage: 100%, Memory Used: 352.38 MB
2024-04-06 21:56:55 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:56 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:57 - GPU Usage: 0%, Memory Used: 352.38 MB
2024-04-06 21:56:58 - GPU Usage: 0%, Memory Used: 352.38 MB
